StromnetzTyp,MastTyp,Anzahl,Datum
Allgemeinstrom,Abspannmast,7519,2023-06-21
Allgemeinstrom,Endmast,442,2023-06-21
Allgemeinstrom,Tragmast,11388,2023-06-21
Allgemeinstrom,Abspannmast,7519,2023-06-27
Allgemeinstrom,Endmast,442,2023-06-27
Allgemeinstrom,Tragmast,11388,2023-06-27
Allgemeinstrom,Abspannmast,7519,2023-06-28
Allgemeinstrom,Endmast,442,2023-06-28
Allgemeinstrom,Tragmast,11388,2023-06-28
Allgemeinstrom,Abspannmast,8013,2023-06-29
Allgemeinstrom,Endmast,442,2023-06-29
Allgemeinstrom,Tragmast,12536,2023-06-29
