Werk,Freileitung,Kabelleitung,LeitungGesamt,AnzahlMasten,AnzahlStationen,Datum
AEK,0.0,9755.083212813313,9755.083212813313,0.0,0.0,2023-06-21
Axpo Grid AG,1823685.2551547438,418259.56332130433,2241944.8184760483,7010.0,37.0,2023-06-21
IBC,10457.540317788076,35999.43641068028,46456.97672846836,25.0,4.0,2023-06-21
IWB,0.0,1137060.9322728321,1137060.9322728321,0.0,145.0,2023-06-21
SEG,15685.305674601797,7663.694949527551,23349.00062412935,339.0,3.0,2023-06-21
Swissgrid,10502450.661044762,85558.46892887582,10588009.129973637,11975.0,134.0,2023-06-21
AEK,0.0,9755.083212813313,9755.083212813313,0.0,0.0,2023-06-27
Axpo Grid AG,1823685.2551547438,418259.56332130433,2241944.8184760483,7010.0,37.0,2023-06-27
ESB,0.0,35409.581596232965,35409.581596232965,0.0,4.0,2023-06-27
IBC,10457.540317788076,35999.43641068028,46456.97672846836,25.0,4.0,2023-06-27
IWB,0.0,1137060.9322728321,1137060.9322728321,0.0,145.0,2023-06-27
SEG,15685.305674601797,7663.694949527551,23349.00062412935,339.0,3.0,2023-06-27
Swissgrid,10502450.661044762,85558.46892887582,10588009.129973637,11975.0,134.0,2023-06-27
AEK,0.0,9755.083212813313,9755.083212813313,0.0,0.0,2023-06-28
Axpo Grid AG,1823685.2551547438,418259.56332130433,2241944.8184760483,7010.0,37.0,2023-06-28
ESB,0.0,35409.581596232965,35409.581596232965,0.0,4.0,2023-06-28
IBC,10457.540317788076,35999.43641068028,46456.97672846836,25.0,4.0,2023-06-28
IWB,0.0,1137060.9322728321,1137060.9322728321,0.0,145.0,2023-06-28
SEG,15685.305674601797,7663.694949527551,23349.00062412935,339.0,3.0,2023-06-28
Swissgrid,10502450.661044762,85558.46892887582,10588009.129973637,11975.0,134.0,2023-06-28
